Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Transaction_Distance,Authentication_Method,Is_Weekend,Fraud_Label,Year,Month,Day,Hour,Minute,Second
124.74,1,61520.85,2,1,0,13,293.03,1,2,2379.56,3,0,0,2023,5,21,14,40,0
48.92,3,13124.53,2,0,0,1,131.59,1,2,2898.69,0,1,1,2023,11,9,5,58,0
4.97,0,19504.57,2,0,0,8,394.36,3,2,3639.03,3,0,0,2023,8,21,21,55,0
50.4,1,70996.25,1,0,0,14,84.89,1,0,1043.77,3,0,0,2023,12,4,8,41,0
180.62,0,53345.96,2,0,0,4,47.79,2,1,3326.17,3,0,0,2023,7,5,8,50,0
140.6,0,13935.49,2,0,0,9,227.36,1,2,2864.87,2,0,0,2023,9,26,17,13,0
231.35,0,92933.91,0,0,0,8,478.76,1,3,2273.51,3,1,0,2023,9,11,11,35,0
212.22,3,6753.07,1,0,0,4,107.26,4,1,1046.9,0,0,1,2023,12,27,20,3,0
147.84,3,46527.47,2,0,0,1,131.17,3,3,4908.34,2,0,0,2023,11,8,16,16,0
158.85,1,11813.99,2,0,0,14,465.49,1,0,2653.12,3,0,0,2023,7,30,12,24,0
4.43,1,18905.83,0,0,0,9,292.94,3,2,2594.13,3,1,0,2023,4,1,8,34,0
85.45,0,41767.46,1,0,0,14,228.01,0,2,4570.28,1,0,0,2023,9,9,10,2,0
99.32,2,29329.35,2,0,0,10,34.74,4,3,3368.55,0,1,1,2023,3,30,3,14,0
87.29,1,82933.42,2,0,1,2,270.04,0,0,4233.75,1,1,0,2023,9,6,23,14,0
229.0,2,20413.24,2,0,0,5,492.31,2,3,4659.45,0,0,0,2023,7,18,16,47,0
22.4,3,87085.89,0,0,0,9,258.53,1,2,3264.92,2,1,0,2023,12,18,0,16,0
263.59,2,98730.52,0,0,1,4,79.03,1,2,4134.17,0,0,0,2023,12,11,22,48,0
425.97,3,14127.88,1,0,0,4,136.02,3,2,4657.46,3,1,0,2023,12,28,17,35,0
119.44,0,18698.54,2,0,0,2,21.14,0,1,4487.33,1,0,0,2023,12,2,17,34,0
18.41,3,48723.59,2,0,0,2,51.4,3,2,1931.13,2,0,0,2023,11,28,19,21,0
8.74,1,1686.45,0,0,0,10,375.95,1,1,3286.0,3,0,0,2023,5,6,5,38,0
513.78,3,63548.64,0,0,0,6,327.31,0,0,2720.75,2,0,0,2023,1,14,21,25,0
57.85,0,28459.14,0,0,0,13,71.66,4,0,3003.21,2,0,1,2023,11,27,15,4,0
27.64,2,12521.24,1,0,0,6,127.39,4,1,4150.25,1,0,1,2023,8,5,21,4,0
64.61,1,94289.85,1,0,0,11,332.4,3,0,366.13,1,0,0,2023,6,22,22,4,0
106.84,3,55417.27,0,0,0,13,277.96,0,1,17.13,0,0,0,2023,1,9,3,23,0
80.2,2,82626.55,2,0,0,5,151.98,0,2,178.6,2,1,0,2023,12,17,11,54,0
11.91,0,75447.75,1,0,0,7,86.6,1,3,961.72,1,0,0,2023,7,12,19,59,0
202.75,0,58180.36,2,1,0,8,77.57,0,1,1798.14,2,1,0,2023,9,18,6,38,0
45.05,0,7142.75,1,1,0,6,177.07,0,2,4623.41,1,1,1,2023,11,20,22,19,0
68.08,0,11823.74,1,0,0,14,124.97,2,3,4500.89,2,1,0,2023,3,9,7,45,0
38.38,2,33764.14,2,0,0,3,111.29,4,1,249.27,3,0,1,2023,7,20,5,24,0
45.14,1,90226.22,0,0,0,6,15.74,1,3,150.73,3,0,0,2023,4,27,2,53,0
40.68,0,73513.35,0,0,0,3,27.19,1,1,768.22,0,0,1,2023,10,3,11,13,0
28.93,0,21457.06,0,0,0,4,356.78,0,0,293.67,3,0,0,2023,2,25,22,53,0
211.35,3,83061.48,1,0,0,3,209.73,4,2,4917.78,1,1,1,2023,10,30,7,16,0
221.65,0,4113.54,2,0,0,1,380.62,0,2,4158.29,0,0,1,2023,6,30,3,26,0
203.14,1,55114.35,0,0,0,14,29.4,4,0,3874.84,1,0,1,2023,8,3,20,6,0
77.56,0,35091.4,0,0,0,3,126.65,2,1,1895.75,2,1,0,2023,9,22,19,14,0
43.67,0,871.39,2,0,0,8,281.45,0,0,321.41,3,0,0,2023,2,1,11,9,0
35.48,0,96433.2,1,0,0,10,274.94,4,0,1801.72,1,0,1,2023,8,27,3,48,0
69.42,0,55756.5,1,0,0,2,67.54,3,0,1047.08,2,0,0,2023,3,27,19,1,0
105.88,1,12611.33,2,0,0,12,155.72,1,1,242.67,3,0,0,2023,8,2,14,7,0
97.23,2,50077.22,2,0,0,4,206.5,3,3,1523.59,2,0,0,2023,11,10,2,24,0
309.46,3,1754.34,0,0,0,2,452.58,1,3,2165.65,0,0,0,2023,12,10,11,13,0
86.97,2,3919.19,0,0,1,10,236.75,4,2,2567.75,1,0,1,2023,1,29,18,6,0
110.75,3,67075.63,1,0,0,4,484.92,3,0,2290.86,3,0,0,2023,12,14,13,41,0
209.18,2,15932.19,1,0,0,14,10.28,0,2,1895.21,0,0,1,2023,3,4,7,11,0
184.5,1,34642.47,1,0,0,13,10.0,4,2,2730.28,1,0,1,2023,12,2,3,5,0
17.04,2,41936.84,2,0,0,6,403.46,3,1,4423.09,1,0,0,2023,6,28,13,48,0
12.13,1,86906.22,0,0,0,4,347.35,1,1,4849.83,0,0,0,2023,5,16,12,47,0
260.47,2,93531.71,2,0,0,8,287.19,1,2,4578.71,1,1,1,2023,7,6,23,7,0
68.1,3,58137.59,0,0,0,3,441.96,3,0,3548.05,1,1,0,2023,12,7,16,14,0
170.02,3,91895.42,2,0,0,2,321.48,3,2,3879.07,0,0,0,2023,8,17,0,1,0
182.66,1,54959.93,1,0,0,5,351.34,0,3,3278.32,2,0,0,2023,10,30,20,56,0
92.96,2,49229.92,2,0,0,4,494.79,4,1,2829.23,2,0,1,2023,12,30,8,56,0
144.37,3,35724.0,0,0,0,8,155.47,1,2,2908.48,3,0,0,2023,3,27,6,31,0
3.54,0,30122.65,1,0,0,7,158.73,2,0,4814.01,1,0,0,2023,11,17,8,43,0
13.26,2,61487.58,1,0,0,9,409.11,4,0,1674.17,2,0,1,2023,9,20,4,36,0
17.99,1,96549.63,1,0,0,11,424.95,0,0,2490.71,2,0,0,2023,4,26,0,56,0
153.67,3,49487.07,1,0,0,13,70.46,3,3,4957.63,1,0,0,2023,3,5,21,45,0
70.71,3,32856.05,2,0,0,11,315.57,3,0,212.36,1,0,0,2023,9,19,11,0,0
3.37,3,36893.16,0,0,0,1,462.86,4,2,558.31,2,0,1,2023,3,1,2,17,0
157.68,2,10182.62,2,0,0,9,106.06,2,0,2230.31,0,1,1,2023,2,3,17,14,0
82.06,3,7950.28,1,0,1,1,193.5,0,0,302.33,2,0,1,2023,9,9,10,55,0
5.32,0,29798.65,2,0,0,6,326.03,4,1,745.05,0,1,1,2023,11,4,6,46,0
119.95,3,13855.65,1,0,1,12,129.11,0,2,2044.59,1,1,0,2023,9,16,23,50,0
117.28,2,3767.23,0,0,0,6,10.31,2,0,1890.99,0,0,0,2023,10,15,2,5,0
181.73,2,47292.37,2,0,1,12,63.67,3,0,3586.61,0,1,0,2023,10,13,18,3,0
62.48,1,43449.02,1,0,0,5,325.07,4,2,3964.15,1,0,1,2023,3,1,8,18,0
40.59,2,62096.26,2,0,0,3,122.7,3,0,2330.48,1,0,0,2023,6,24,8,54,0
112.39,1,70908.88,2,0,0,2,413.55,0,2,3485.53,3,1,0,2023,12,26,16,57,0
28.15,0,31016.2,1,0,0,12,254.87,0,1,801.05,1,0,0,2023,4,9,21,33,0
117.73,3,74877.56,2,1,1,14,495.48,0,3,866.46,1,0,0,2023,10,16,17,27,0
15.36,1,37831.81,0,0,0,14,185.67,1,0,4298.23,3,0,0,2023,11,11,2,15,0
117.16,0,27098.65,1,0,1,14,497.79,3,0,116.07,1,0,1,2023,12,7,23,53,0
201.85,3,4154.2,1,0,0,6,229.49,2,2,3906.3,1,0,0,2023,10,13,13,49,0
149.61,3,69323.72,0,0,1,6,356.61,3,0,3940.39,0,1,0,2023,12,28,22,45,0
226.29,3,75649.09,0,0,0,5,94.12,0,1,3043.38,3,0,1,2023,7,24,13,6,0
46.84,1,31019.08,2,0,0,14,377.67,2,3,2066.62,0,1,1,2023,7,25,4,51,0
82.54,1,38836.67,2,0,0,12,84.02,4,3,150.75,3,0,1,2023,9,25,12,4,0
16.98,2,69035.41,2,0,0,3,235.83,1,0,2912.49,3,0,0,2023,10,26,13,57,0
38.75,2,17387.96,0,0,0,6,457.1,3,1,1575.68,0,0,0,2023,9,27,7,23,0
305.14,2,76589.09,0,0,0,8,129.07,1,2,4906.18,0,0,0,2023,2,21,3,38,0
68.78,2,62815.77,0,0,0,5,467.5,3,1,1119.49,2,1,0,2023,8,4,8,35,0
49.26,1,3624.33,2,0,0,13,61.04,2,1,614.8,2,0,1,2023,3,8,1,15,0
5.0,2,60075.24,2,0,0,5,307.9,4,1,2829.92,3,0,1,2023,5,13,8,8,0
0.8,3,16658.09,0,0,0,3,425.73,2,2,3948.56,0,1,0,2023,3,14,19,43,0
29.2,2,66166.15,1,0,0,14,232.07,1,3,1484.21,3,0,0,2023,9,21,5,42,0
170.87,0,29864.62,0,0,0,11,207.57,3,3,2099.09,0,0,0,2023,2,9,6,38,0
45.8,1,94938.23,1,0,0,6,368.61,3,0,3413.07,1,1,0,2023,2,21,13,45,0
77.25,3,14245.27,2,1,0,12,192.13,0,2,3461.71,0,0,0,2023,5,1,1,11,0
70.08,3,4792.45,1,0,0,4,45.2,1,3,1095.37,1,0,0,2023,8,22,9,11,0
27.37,3,74744.35,1,0,0,3,439.77,4,0,3265.08,1,0,1,2023,5,30,0,29,0
62.0,3,36146.11,1,0,0,5,451.0,1,2,1002.64,2,0,0,2023,3,16,21,27,0
33.64,3,9674.18,2,0,0,10,271.4,4,0,4345.67,1,0,1,2023,10,29,23,31,0
32.25,0,80244.56,0,0,0,7,160.14,2,0,4792.4,3,0,0,2023,8,5,12,29,0
287.98,1,13238.9,2,0,0,9,40.71,3,2,4819.85,3,1,0,2023,11,27,4,18,0
266.58,2,36685.47,1,0,0,13,33.58,4,0,4150.2,2,1,1,2023,4,9,9,22,0
66.23,2,18347.86,1,0,0,9,492.14,4,3,1617.83,3,0,1,2023,5,2,1,32,0
300.74,0,26420.43,1,0,0,12,250.69,1,1,102.83,3,0,0,2023,4,22,17,49,0
76.19,2,78605.45,1,0,0,2,119.83,2,2,4001.3,2,1,0,2023,11,21,3,7,0
29.84,2,32677.53,2,0,0,1,363.45,3,3,4205.45,2,1,0,2023,11,23,4,58,0
231.29,0,86619.89,0,0,0,9,417.6,3,0,1588.39,0,1,1,2023,12,12,16,32,0
68.44,0,78645.6,0,0,0,3,339.58,3,2,985.65,0,1,0,2023,5,27,16,33,0
13.19,1,38925.5,0,1,0,7,196.24,0,0,2924.24,2,0,0,2023,9,23,8,26,0
102.89,3,30695.67,1,0,0,4,32.36,1,0,92.81,0,0,0,2023,9,17,8,35,0
177.99,3,69959.25,2,0,1,5,62.24,2,1,4042.64,3,1,0,2023,10,24,0,53,0
120.32,1,88693.55,2,0,0,11,230.14,3,1,1168.01,3,0,0,2023,9,7,9,35,0
26.47,1,20500.38,0,0,0,13,391.12,2,3,712.35,3,0,0,2023,9,21,6,34,0
210.98,0,14361.8,2,0,0,2,35.22,3,1,92.88,2,0,0,2023,12,7,16,48,0
160.58,0,60955.11,2,0,0,7,315.32,1,0,2927.89,3,0,0,2023,6,3,11,14,0
52.5,2,74184.21,1,0,0,9,146.86,4,3,1370.95,3,0,1,2023,10,13,17,19,0
68.58,1,55847.43,1,0,0,12,317.51,1,0,637.53,2,0,0,2023,11,3,18,27,0
8.26,1,78451.8,2,1,0,2,417.81,3,1,1041.91,0,0,1,2023,3,16,7,9,0
133.82,1,94254.86,2,0,0,12,297.21,1,2,1396.62,2,1,0,2023,10,7,21,29,0
251.8,0,87999.62,1,0,0,13,56.74,0,0,3030.98,1,0,0,2023,10,3,12,5,0
44.29,2,52056.64,1,0,0,14,400.96,0,3,4212.17,0,0,1,2023,3,17,8,6,0
25.05,1,47100.97,2,0,0,5,105.48,2,0,2959.47,1,0,1,2023,10,16,2,4,0
159.36,3,46150.37,2,0,0,4,96.4,2,3,2620.73,3,0,1,2023,6,7,9,27,0
154.59,0,42889.03,0,0,0,12,12.45,2,2,4054.89,2,1,0,2023,12,23,1,53,0
136.49,3,29450.32,2,0,0,2,341.6,3,1,3418.29,2,0,0,2023,8,21,9,5,0
155.09,3,16524.51,0,0,0,7,219.58,4,2,2905.38,3,0,1,2023,8,10,12,30,0
51.97,0,41278.5,2,0,0,10,66.31,3,3,4297.64,0,0,0,2023,3,23,2,17,0
52.75,1,26976.85,0,0,0,12,151.45,0,2,3579.79,0,0,0,2023,12,10,5,42,0
71.39,2,53067.51,0,0,0,14,302.66,3,3,2144.29,3,1,0,2023,2,13,20,55,0
50.8,0,87491.78,0,0,0,5,158.15,2,1,4890.79,3,1,1,2023,5,10,9,3,0
56.64,0,34337.36,1,0,0,11,120.63,2,2,678.61,0,1,0,2023,4,5,21,3,0
23.31,0,2489.44,2,0,0,14,104.81,3,1,1519.96,2,0,0,2023,11,5,14,44,0
145.45,0,36784.22,2,0,0,13,259.93,3,3,3207.3,3,1,0,2023,8,8,9,53,0
9.65,1,92112.94,0,0,0,1,436.66,1,2,1907.59,3,0,0,2023,5,18,14,52,0
268.52,2,52543.18,1,0,0,13,371.12,0,3,4534.39,3,0,0,2023,1,9,5,33,0
23.32,3,75259.34,1,0,0,11,88.25,1,1,4967.61,0,0,0,2023,9,26,16,28,0
19.23,1,99404.85,1,1,0,8,337.51,4,3,1290.43,3,1,1,2023,11,16,18,29,0
6.17,3,70452.68,2,0,0,14,47.22,4,1,3239.85,1,0,1,2023,10,1,21,59,0
29.37,2,6376.12,2,0,0,5,472.07,4,0,1522.44,3,0,1,2023,12,24,16,44,0
18.36,1,88596.86,0,0,0,1,427.01,4,3,2034.61,3,1,1,2023,5,26,19,14,0
52.59,1,24496.15,2,0,0,3,98.36,3,0,2689.52,3,0,0,2023,2,28,19,25,0
376.37,3,49116.13,0,0,0,11,136.33,0,3,3984.53,1,0,0,2023,4,18,22,6,0
469.43,2,52125.14,0,0,0,13,462.31,4,0,165.87,1,1,1,2023,4,21,9,10,0
186.24,2,18322.9,0,0,0,9,323.17,1,3,1453.65,0,0,0,2023,9,26,5,30,0
35.02,2,93166.03,1,1,1,14,366.68,2,2,4882.6,0,0,1,2023,3,3,10,4,0
119.32,3,31537.89,0,0,0,4,143.86,0,0,277.94,3,1,1,2023,8,10,18,7,0
92.61,2,72970.82,2,0,0,1,191.55,2,3,2406.42,2,0,0,2023,8,26,16,8,0
10.15,3,6991.1,1,0,0,6,166.95,4,2,822.58,0,0,1,2023,2,27,2,40,0
13.14,3,23806.33,2,0,0,11,150.45,2,0,1710.18,0,0,0,2023,4,2,19,32,0
51.35,2,11501.26,0,0,0,11,436.88,3,0,938.97,1,0,0,2023,11,4,9,55,0
11.98,3,907.29,1,0,0,12,118.82,4,2,3884.79,3,0,1,2023,9,2,6,16,0
13.31,3,25559.94,1,0,0,7,62.27,1,3,4111.49,2,0,1,2023,1,27,15,3,0
72.49,2,22118.14,2,0,0,5,100.2,0,1,4473.62,1,0,0,2023,1,13,6,38,0
152.06,2,77353.87,0,0,0,9,21.01,0,3,2716.44,1,0,0,2023,5,2,5,12,0
50.7,2,77270.18,0,0,0,2,49.55,4,2,4062.1,1,1,1,2023,3,29,7,3,0
134.91,0,93551.86,2,0,0,4,338.13,1,2,453.58,2,1,1,2023,9,23,0,51,0
216.73,1,89547.5,1,0,1,5,436.23,4,3,2.83,1,1,1,2023,1,18,4,56,0
275.07,2,64263.47,0,0,0,12,68.68,4,1,4052.01,3,0,1,2023,8,9,14,59,0
19.71,0,68434.73,1,0,0,4,189.94,3,0,2187.67,3,0,1,2023,2,28,9,44,0
29.94,1,21204.72,1,0,0,2,370.98,2,1,1339.95,1,0,1,2023,12,30,4,19,0
18.3,2,1083.69,1,0,0,11,387.53,1,2,1169.21,2,0,0,2023,6,24,10,35,0
33.34,0,4358.8,1,0,0,14,271.92,1,0,4257.54,0,0,1,2023,12,1,16,39,0
2.65,0,63231.42,0,1,0,10,11.96,0,0,2788.96,2,1,0,2023,6,24,22,47,0
97.88,3,27699.17,0,0,0,1,169.96,2,2,2714.75,0,0,0,2023,12,29,9,17,0
7.41,0,8316.6,1,0,0,13,194.54,3,3,3201.41,1,0,1,2023,1,9,0,34,0
3.96,1,27213.94,1,0,0,3,284.94,4,1,1198.68,0,1,1,2023,5,26,21,43,0
101.03,1,34268.43,2,0,1,13,73.66,3,0,4814.77,0,0,0,2023,1,15,1,14,0
94.29,0,86307.88,2,0,0,12,48.18,4,3,2219.62,3,0,1,2023,5,21,7,9,0
139.19,3,87573.85,2,0,0,9,174.75,0,3,1537.86,1,0,0,2023,6,9,1,29,0
